id,kickoff_time_formatted,started,event_day,deadline_time,deadline_time_formatted,team_h_difficulty,team_a_difficulty,code,kickoff_time,team_h_score,team_a_score,finished,minutes,provisional_start_time,finished_provisional,event,team_a,team_h
159,09 Dec 12:30,1,1,2017-12-09T11:30:00Z,09 Dec 11:30,4,3,919052,2017-12-09T12:30:00Z,1,0,1,90,0,1,16,5,20
160,10 Dec 12:00,1,2,2017-12-09T11:30:00Z,09 Dec 11:30,4,2,919049,2017-12-10T12:00:00Z,1,1,1,90,0,1,16,1,14
161,12 Dec 19:45,1,1,2017-12-12T18:45:00Z,12 Dec 18:45,2,3,919053,2017-12-12T19:45:00Z,1,0,1,90,0,1,17,15,4
162,12 Dec 20:00,1,1,2017-12-12T18:45:00Z,12 Dec 18:45,2,3,919054,2017-12-12T20:00:00Z,2,1,1,90,0,1,17,18,6
163,12 Dec 20:00,1,1,2017-12-12T18:45:00Z,12 Dec 18:45,4,2,919055,2017-12-12T20:00:00Z,1,3,1,90,0,1,17,5,8
164,13 Dec 20:00,1,2,2017-12-12T18:45:00Z,12 Dec 18:45,3,4,919056,2017-12-13T20:00:00Z,1,0,1,90,0,1,17,2,12
165,13 Dec 19:45,1,2,2017-12-12T18:45:00Z,12 Dec 18:45,5,3,919057,2017-12-13T19:45:00Z,0,4,1,90,0,1,17,11,16
166,13 Dec 20:00,1,2,2017-12-12T18:45:00Z,12 Dec 18:45,2,4,919059,2017-12-13T20:00:00Z,0,0,1,90,0,1,17,19,10
167,13 Dec 19:45,1,2,2017-12-12T18:45:00Z,12 Dec 18:45,2,3,919060,2017-12-13T19:45:00Z,0,1,1,90,0,1,17,7,13
168,13 Dec 19:45,1,2,2017-12-12T18:45:00Z,12 Dec 18:45,3,2,919061,2017-12-13T19:45:00Z,1,4,1,90,0,1,17,9,14
169,13 Dec 20:00,1,2,2017-12-12T18:45:00Z,12 Dec 18:45,2,4,919062,2017-12-13T20:00:00Z,2,0,1,90,0,1,17,3,17
170,13 Dec 20:00,1,2,2017-12-12T18:45:00Z,12 Dec 18:45,4,3,919058,2017-12-13T20:00:00Z,0,0,1,90,0,1,17,1,20
171,16 Dec 15:00,1,1,2017-12-16T11:30:00Z,16 Dec 11:30,3,4,919064,2017-12-16T15:00:00Z,1,0,1,90,0,1,18,13,1
172,17 Dec 16:30,1,2,2017-12-16T11:30:00Z,16 Dec 11:30,4,3,919063,2017-12-17T16:30:00Z,0,4,1,90,0,1,18,10,2
173,16 Dec 15:00,1,1,2017-12-16T11:30:00Z,16 Dec 11:30,3,2,919065,2017-12-16T15:00:00Z,0,0,1,90,0,1,18,4,3
174,16 Dec 15:00,1,1,2017-12-16T11:30:00Z,16 Dec 11:30,2,4,919066,2017-12-16T15:00:00Z,1,0,1,90,0,1,18,14,5
175,18 Dec 20:00,1,3,2017-12-16T11:30:00Z,16 Dec 11:30,2,3,919067,2017-12-18T20:00:00Z,3,1,1,90,0,1,18,16,7
176,16 Dec 12:30,1,1,2017-12-16T11:30:00Z,16 Dec 11:30,2,3,919068,2017-12-16T12:30:00Z,0,3,1,90,0,1,18,6,9
177,16 Dec 17:30,1,1,2017-12-16T11:30:00Z,16 Dec 11:30,4,5,919069,2017-12-16T17:30:00Z,4,1,1,90,0,1,18,17,11
